Texto,Sarcasmo,len_chars,len_words
Un joven se define como «friki de los Derechos Humanos»,1,55,10
Sergio Ramos exigió que le hicieran un control antidoping tras perder 3-0 frente al Eibar,1,89,15
La guerra española y George Orwell,0,34,6
Netflix se queda sin espacio en el disco duro,1,45,9
El teniente coronel Antonio Tejero pregunta si puede ayudar en algo,1,67,11
Tras los pasos de Gandhi en la India,0,36,8
Sumar elige cuatro miembros de su núcleo duro para dirigir temporalmente el partido,0,83,13
Julen Lopetegui asumirá también la presidencia del Gobierno,1,59,8
Los huérfanos del maremoto,0,26,4
"El Raid Al-Andalus, en un documental",0,36,6
Expertos alertan de una Dana que repartirá aguaceros «muy intensos»: así afectará a Andalucía,0,93,14
Condenado a tres años de prisión por no ver ninguna de las cinco series que había que ver en 2020,1,97,20
"La Super Bowl LVIII, en imágenes",0,32,6
"Los productos más populares de Lidl, de peor a mejor",0,52,10
La emisión de gases de efecto invernadero ha crecido el 37%,0,59,11
"""El desarrollo se efectúa sin contar con su impacto ambiental""",0,62,10
Del «dígame» a los memes virales: así han revolucionado las telecomunicaciones nuestra vida,0,91,13
Adrián Miramón peleará esta semana por el título europeo de beach sprint,0,72,12
La cabra violada en una clínica veterinaria vuelve con su dueño: «Está distante. Puede que necesite ayuda psicológica»,0,118,18
Un millennial le dice a su hijo «Una guerra civil bot tendrías que haber vivido tú»,1,83,16
Israel amenaza con cerrar el Consulado español en Jerusalén si mantiene las relaciones con los palestinos,0,105,16
Los empresarios de Glovo frente al Código Penal. ¿Podrá Yolanda Díaz llevarles al banquillo?,0,92,14
"Trump elimina las versiones en español, catalán, bable y gallego de la web de la Casa Blanca",1,92,17
Plazas de geriatría,0,19,3
El jefe aclara que esta charla informal de cinco minutos frente a la máquina de «vending» era la cena de empresa,1,112,21
"Bush, el pirata y Alejandro Magno",0,33,6
La telefonía a través de Internet crece más rápido de lo esperado,0,65,12
La contaminación del aire y del agua,0,36,7
¿Cómo evitar recibir propaganda electoral?,1,42,5
La fama puede ser una forma de ganar respeto y admiración por los logros personales.,0,84,15
La Policía Nacional investigará el robo del Barça del sábado pasado,1,67,11
«La Ronda Litoral me provocó unos gases terribles»,1,50,8
 ¿Pero a dónde vas? ¡Vamos a hacer el amor!,0,43,9
Detenidos en Málaga y otras ocho provincias por tenencia de pornografía infantil en nubes de almacenamiento,0,107,16
15 taconazos de vértigo que te permiten llegar más hondo en el contenedor,1,73,13
El equilibrismo de Macron ante Rusia desconcierta a Ucrania y los socios del Este,0,81,14
Dime lo que llevas a una cena de grupo y te diré cómo eres,0,58,14
Pues ya no.,0,11,3
La Roca necesita podas y batidas de limpieza,0,44,8
EL GENIO DE MOZART,0,18,4
La fiebre del poke,0,18,4
Apple hace 'lista' a Siri integrándola con ChatGPT,0,50,8
La ‘boutique’ de oncología  de precisión,0,40,6
El congreso de teólogos lamenta la beligerancia de los obispos en bioética,0,74,12
Kevin Spacey afirma sentirse preparado para interpretar a un sacerdote,1,70,10
Vueling entregará las llaves del avión al pasajero que parezca más listo para que lo pilote,1,91,16
Un señor presenta su nuevo michelín estrella,1,44,7
"«Si no detenemos el calentamiento global, los incendios se volverán más extremos»",0,81,12
"Muere a los 42 años Konstantin Koltsov, novio de la tenista Aryna Sabalenka y exjugador de hockey sobre hielo",0,109,19
Estos son los restaurantes favoritos de los malagueños para comer a domicilio,0,77,12
Acribillan a Albert Rivera en su mansión de Miami,1,49,9
'Nosolomúsica' viaja a Kuala Lumpur,0,35,5
Pedófilo disfrazado de Papá Noel llena de ilusión las calles de la ciudad,1,73,13
Crítica de 'Antracita': una secta y una tiktoker detective,0,58,9
Una niña intenta convencer a sus padres de que necesita una “Sapphire NITRO+ AMD Radeon RX 6900 XT OC GAMING” para las clases online,1,132,24
La madre de una actriz porno sufre porque su hija va poco abrigada,1,66,13
Desalojado un grupo de la acampada por Gaza en Madrid tras bloquear la avenida Complutense,0,90,15
Pakoras de patata y guisantes,0,29,5
El Vaticano prohíbe meter “eso” por “ahí”,1,41,7
"¿Sabes qué? Te he subestimado, Alan. Eres mucho más hábil y manipulador de lo que te reconocía.",0,95,17
Las guerras de Ucrania y Gaza elevan el peligro del uso de armas nucleares en el mundo,0,86,17
La Guardia Civil desmantela un pequeño coliseo de peleas de gallos en Murcia con capacidad para 200 espectadores,0,112,18
Felipe VI estudia despojar a su padre del título de rey y expulsarle de la Casa Real,0,84,17
Guía para limpiar los utensilios de madera correctamente,0,56,8
 Un rapidín. Ella se va a quedar porque me estacioné atrás de ella.,0,67,13
Se pasa 13 años en la cama pidiendo «cinco minutitos más»,1,57,11
Mamá se derrumba y reconoce que todos los “tuppers” que te ha entregado en los últimos años eran de Wetaca,1,106,20
Increíble cómo los problemas siempre aparecen justo antes de salir.,1,67,10
Un “plan criminal” para “controlar” el Granada y “defraudar” millones con el traspaso de futbolistas,0,100,15
Barcelona abre el acto por al atentado de ETA en Hipercor a las víctimas de los GAL,0,83,17
Lucha digital contra los incendios forestales,0,45,6
"Damián Quintero y Salva Balbuena, a la final europea de kata por equipos",0,72,13
Un ser del averno con un peinado horrible que lleva la ropa de tu mujer pregunta si no le notas nada distinto,1,109,22
Cruz Roja recrimina al Tercer Mundo que no dé ni las gracias,1,60,12
"“Querido amigo, hemos ‘hackeado’ tu empresa”. Así actúan las ciberbandas",0,72,10
Calderón sigue sin fallar desde la línea de tiros libres,0,56,10
Por supuesto que la impresora se quedaría sin tinta justo ahora.,1,64,11
Contenido del estómago de Juan Echanove,1,39,6
"Estado de los embalses de Málaga hoy jueves, 20 de junio de 2024",0,64,13
Su casa y el clima,0,18,5
Sopa de Letras clásica: 14 de junio de 2024,0,43,9
El Ayuntamiento de Málaga vuelve a subastar nueve parcelas para construir chalés: estos son los precios,0,103,16
Muere la oveja que hacía los Conguitos,1,38,7
La cresta: la hamburguesa malagueña que es una mutación de una receta exótica,0,77,13
Ni Claudia ni Xóchitl: el desapego marca el voto mexicano en el exterior,0,72,13
Ya está disponible Windows 11: ¿Qué ordenadores son compatibles? ¿Hasta cuándo se puede usar Windows 10?,0,104,16
El ciclón Jon Rahm sacude el Open Británico,0,43,8
"Barcelona 92, nuevo equipo de hockey sobre hielo",0,48,8
El Delta Birding Festival advierte de la trampa mortal que constituyen para las aves las pistas de pádel,0,104,18
Puerto Rico y el reto de Arecibo: ¿cómo llenar el vacío del radiotelescopio más potente del mundo?,0,98,17
El precio de las llamadas de móvil disminuyó un 9% en 2010,0,58,12
'Rompe y llévatelo': los saqueos organizados que están sacudiendo Estados Unidos,0,80,11
El frenazo en seco del autoconsumo alcanza ya a las empresas industriales y de servicios,0,88,15
Repasamos las mejores tradiciones de Año Nuevo alrededor del mundo,1,66,10
Tom Hanks celebra a solas la fiesta de reunión de rodaje de Náufrago,1,68,13
Imputado el exjefe de la policía de Chongqing,0,45,8
"La iluminación navideña, por Idígoras",0,37,5
"Albares asegura que Salamanca ""va a ser central"" en las interconexiones ferroviarias con Portugal",0,97,14
La gente normal saldrá a la calle para protestar contra la otra gente,1,69,13
Benalmádena vuelve a sus raíces de fabricación papelera e inicia la rehabilitación del edificio de La Tribuna,0,109,17
Detenido por robar a conductores de autobuses en la Estación de Málaga,0,70,12
Casi la mitad de las empresas del Ibex 35 no explican su actividad en paraísos fiscales,0,87,16
Los fans critican la elección de Bruce Wayne como el nuevo Batman,1,65,12
Nusantara o cómo construir una capital desde cero,0,49,8
La emancipación de la mujer pone patas arriba la sociedad china,0,63,11
El radiador del pasillo se desvincula del inquietante ruido que acaba de oírse,1,78,13
De Anne Hathaway a Adele: las ‘celebrities’ que dejaron el alcohol y ahora presumen de estar sobrias,0,100,17
Zulos conectados por túneles entre casas: la operativa de película de una banda que cultivaba marihuana en Alhaurín de la Torre,0,127,21
Cuando la ropa reivindica y denuncia,0,36,6
Felipe VI intenta ganar popularidad entre los  jóvenes de izquierdas luciendo un tatuaje de Negu Gorriak,1,104,16
Denuncia que lleva meses peleando con la Administración para que le anulen la eutanasia,1,87,14
Las nevadas dan aire a las estaciones de esquí catalanas antes de acabar la temporada,0,85,15
"Noticia positiva sobre el futuro, probablemente ‘brand content’ de algún banco",1,78,11
 Gracias por nada.,1,18,3
Unos Red Hot Chili Peppers sin colmillo despiden un Mad Cool masificado,0,71,12
Un vuelo de esperanzas para las energías renovables,0,51,8
Macron confina a los franceses en Madrid,1,40,7
"Vuelven Los Dalton, la banda de atracadores de bancos",0,53,9
‘Alvisers’ anónimos,0,19,2
Los test PCR levantan un muro casi infranqueable de entrada a Canarias,0,70,12
La fe va ganando a la ciencia con un 70% de apoyo según los científicos,1,71,15
"Grifos con telemetría, barriles con IoT o el pago digital revolucionan el sector hostelero",0,90,14
"No, no lo sabes. No eres la causa de la miseria de tus padres. Solo eres un síntoma de ella.",0,92,20
Adán se declara harto de que le retraten con una hoja tan pequeña en el pene,1,76,16
Empieza a sospechar que la Beyoncé con la que lleva meses hablando por Instagram no es Beyoncé,1,94,17
El radiador del pasillo se desvincula del ruido inquietante y terrorífico que acaba de oírse en el pasillo,1,106,18
"Tengo a tu novia. Es una zorrupia, pero me gusta igual. Comprendo que estés disgustado, pero míralo desde nuestro lado.",0,119,20
Foro de medicina deportiva en The Embassy,0,41,7
"Kate Middleton asciende a su inseparable estilista, Natasha Archer, a asistente ejecutiva",0,89,12
"El Hockey Málaga Carranque Candelaria, a por el ascenso a la División de Honor B",0,80,15
"Ana Garralón, especialista en literatura infantil: “Fantasía y pedagogía siempre han estado peleadas”",0,101,13
Dios estudia cambiar varios países de sitio “para aprovechar mejor el espacio”,1,78,12
Hombre demasiado tímido para preguntar por el baño del bar va a jugárselo con la primera puerta que vea,1,103,19
Marta Ortega se rodea de las 'tops' de los 90 en,0,48,11
Viena en nueve horas,0,20,4
Activan el Gran Colisionador de Hadrones a la máxima potencia y aparece el Papa Francisco,1,89,15
Cientos de pecadores de la pradera aparecen en los Papeles de Chiquitistán,1,74,12
Jazztel refuerza su área comercial con el fichaje de 400 porculeros,1,67,11
LaLiga aplazará hasta cuatro partidos por coincidir con competiciones europeas,0,78,10
Rumbo a la descarbonización,0,27,4
Qué emocionante es ver cómo el equipo rival marca un gol en su primer ataque.,1,77,15
Trump pone La Casa Blanca en venta en Idealista por si gana Biden,1,65,13
A la caza de (casi todas) las especies invasoras,0,48,9
Los ciudadanos no saben cómo informar a los Reyes Magos de que los niños no existen,1,83,16
Las claves de la aplicación del 155 en Cataluña,1,47,9
"Cambiar de tema, principal estrategia de los españoles para afrontar el futuro",1,78,12
Los mejores altavoces todoterreno con bluetooth,0,47,6
Modi arranca su primera visita oficial a EE UU con una reunión con Musk y una sesión de yoga en la ONU,0,102,22
España cae en waterpolo ante Estados Unidos y se queda fuera de la final femenina del Mundial de Doha,0,101,19
"Estamos preocupados. Vaya. ¿Jerry? Sí, cariño, déjanos ir a recogerte.",0,70,10
Alley-oop entre Westbrook y Adams,0,33,5
Amancio Ortega aparece en lo alto de la cuesta de enero animando a los españoles a subir,1,88,17
Una casa bajo Espartero,0,23,4
La progresista Olivia Chow gana la alcaldía de Toronto,0,54,9
El robot Curiosity halla restos de agua en Marte pero está muy fría y ni siquiera cubre,1,87,17
La Fiscalía desestima la confesión de Bárcenas argumentando que Rajoy sería incapaz de hacer funcionar una trituradora de papel,1,127,19
Felipe VI ordena ocultar a los catalanes dónde se celebrará la final de la Copa del Rey,1,87,17
 ¿De qué hablas?,0,16,3
Totalmente. Estoy bien ahora.,0,29,4
Boxear para vivir,0,17,3
Muere una anciana y se queda en «Escribiendo…» en el grupo de Whatsapp familiar,1,79,14
Urano está en Orcasitas,0,23,4
"Marie Curie, un siglo con dos nobel",0,35,7
¿Qué vas a hacer? ¿Castigarme? Igual no puedo salir.,1,52,9
Más de Thatcher que de Adam Smith,0,33,7
El caso Scott Adkins: “el último héroe de acción verdadero” no ha protagonizado una sola película en cines,0,106,18
"15 carteras para regalar, de hombre y mujer, en Navidad",0,55,10
" Cuidado, mundo, la familia Smith irá a París.",0,46,8
Vila veta una mina de sal en el Montsec por su impacto ambiental,0,64,13
Isidro Leyva cierra con el oro la actuación malagueña en el Campeonato de España,0,80,14
«Hospital Quirónsalud Marbella es uno de los centros más preparados del país en todas las subespecialidades de la oftalmología»,0,127,19
Balcerowski y el Unicaja: tres temporadas y contrato de estrella,0,64,10
Hackean el telescopio espacial Hubble y ahora es «terraplanista»,1,64,9
Investigan un robo en La Palmilla en el que la víctima sufrió un corte profundo en la mano,0,90,18
Audiencias: Cuarto Milenio investigará por qué hace tanto calor,1,63,9
Las personas que no hayan cumplido sus sueños a los 50 años deberán pagar una multa,1,83,16
"«Pero dejemos de hablar de mí», dice veinte años tarde",1,54,10
Una camiseta del Che es usada para limpiar la pantalla de un iPad,1,65,13
La transformación de la actividad jurídica,0,42,6
El gran salto de las energías renovables,0,40,7
"La tumba de Karl Marx en Londres, atacada con un martillo",0,57,11
Pros y contras de vivir en Murcia,1,33,7
Doña Letizia y la infanta Sofía repiten 'look' ante el estreno de la princesa Leonor,0,84,15
"En vez de la tarjeta de la empresa, este empleado lleva el bocadillo colgando del cuello",1,88,16
YouTube abraza la desinformación climática,0,42,5
Cómo un accidente de moto en Filipinas se está transformando en un proyecto solidario de surf,0,93,16
"Indira Gandhi, en libertad",0,26,4
Condenan a cuatro años a un hombre que desfalcó más de 415.000 euros a un banco en Málaga,0,89,18
Ensalada de pollo y judías con limón tostado,0,44,8
Pide la carta de vinos para hacerse un tinto de verano,1,54,11
La Sociedad de Geriatría alerta de la falta de especialistas en la sanidad pública,0,82,14
José Joaquín Brunner: “La competencia de las escuelas son el crimen organizado y el narco”,0,90,15
"Red Iris aumenta el ancho de banda de la Internet académica hasta los 2,5 Gigas",0,79,15
"Tras salvar España, Ana Rosa evita ahora en el último segundo que un hombre caiga por un acantilado",1,99,18
"Qué emocionante, todo lo que haces será comentado y criticado por completos desconocidos.",1,89,13
The Spanish churros that are taking the internet by storm: 'we wanted to make them more modern',0,95,17
El récord del Unicaja más coral,0,31,6
El Leganés denuncia que el Real Madrid jugó primado por el Celta en Butarque,1,76,14
El Hospital Sant Joan de Déu recibe 60 millones de euros de Amancio Ortega para investigar enfermedades raras,0,109,18
"Endesa, digna de nuestra compasión, gana 255 millones menos de lo previsto",1,74,12
"Después de que ignoraras los avisos durante años, ya no quedan personas solteras atractivas y calientes en tu zona",1,114,19
"DeChambeau y McIlroy, gloria y drama en la guerra civil del golf",0,64,12
La Guardia Civil empezará a medir también los niveles de espagueti en sangre,1,76,13
Alec Baldwin anuncia un ‘reality show’ con su mujer y sus siete hijos,0,69,13
Nueva prohibición en las zonas forestales de Andalucía desde este sábado,0,72,11
Mozart suena en los suburbios de Luanda,0,39,7
Luxury housing market on the Costa del Sol bucks national downward trend,0,72,12
Por supuesto. Por supuesto. ¿A dónde vamos?,0,43,7
"Singapur, para chuparse los dedos",0,33,5
¿Por qué debemos revisar los relatos que hacemos de nuestras vidas?,0,67,11
Anatomía del teatro en español: la inmensidad de una lengua cabe en un escenario,0,80,14
¿Verso de Rosalía o frase de ‘Callejeros’?,1,42,7
Urgencia contra los pisos turísticos,0,36,5
"Después de siglos oliendo culos, los perros concluyen que están preparados para comérselos",1,90,13
George Clooney llamó a la Casa Blanca para defender el trabajo de su esposa sobre Gaza en el Tribunal Penal Internacional,0,121,21
"Ah, sí, porque nunca es necesario comprometerse en una relación perfecta.",1,73,11
"El Gobierno calcula que, con el fin del estado de alarma, unos 10.000 españoles saldrán de los iglús de reciclaje donde se escondieron hace un año",1,146,26
Los Reyes Magos regalan a un menor un aparato para simular el asesinato de personas,1,83,15
Parte de guerra de la última jornada de la Liga,1,47,10
Sanidad autoriza ponerse un pendiente a los mayores de 40 años,1,62,11
La revolución de los ricos,0,26,5
Las centrales inspeccionarán las obras del trasvase Tajo-Segura,0,63,8
Los alumnos descubren horrorizados que sus profesores no recuerdan casi nada de lo que aprendieron el año pasado sobre Fortnite,1,127,20
El Unicaja se medirá al Al Riyadi y al Petro de Luanda por un puesto en la final de la Copa Intercontinental,0,108,22
Empiezan a vender vinagreta con sabor a patatas fritas Lay’s,1,60,10
"Las tres casas de la semana: cigarral con un patio inspirado en la Alhambra por 5,6 millones",0,92,17
Cheetos sustituye las calcomanías y empieza a regalar tatuadores en sus bolsas para los niños más atrevidos,1,107,17
China responde a Washington y ordena el cierre del consulado de Estados Unidos en la ciudad de Chengdu,0,102,18
Mataré a Rick. Tú puedes irte. No eres amenaza para mí o para nadie.,0,68,14
Unas palomas atacan a una anciana que las alimentaba con pan con gluten,1,71,13
"He visto recomendaciones de esta serie en todas partes, así que decidí empezarla.",0,81,13
El PP rebaja el reconocimiento de Palestina a mera decisión por “interés personal y político” de Sánchez,0,104,17
"Jan-Michael Simon: “Ortega no solo viola los derechos de los opositores, sino que alcanza a sus familiares”",0,107,17
Paella para todos en el Soho,0,28,6
"¿Qué están haciendo ahora mismo, mientras lees esto, los protagonistas de Salvados por la Campana?",1,98,15
Es la hora de Thierry Ndikumwenayo,0,34,6
"César debe morir: Sinopsis de la película, tráiler, reparto y dónde verla",0,73,12
El 17% de los fondos europeos han sido transferidos a Llados Fitness,1,68,12
Estos son los pisos más buscados por la Policía,1,47,9
El Supremo rechaza dejar en libertad a Junqueras al entender que existe riesgo de que lidere el ala catalana de la Mara Salvatrucha,1,131,23
Luis Bárcenas anuncia la publicación de sus memorias USB,1,56,9
Crédito,1,7,1
Pasa la Navidad en un país pobre,1,32,7
Un hombre se enamora de una palmera de chocolate 37 años más joven,1,66,13
"Quintana, 'Superman' López, Urán... Los 'escarabajos' quieren seguir dando que hablar",0,85,11
"Ni aun descansando, Pogacar deja de ganar etapas en el Giro de Italia",0,69,13
Usar la Ley de la eutanasia para renovar el Poder Judicial y otros puntos básicos del programa electoral del PSOE,1,113,20
"En directo: segunda jornada del congreso WomenNOW, 'Líderes para la revolución'",0,79,11
‘Círculo cerrado’ y la eficacia de Steven Soderbergh,0,52,8
Los jueces son más suaves que las juezas en los casos de delitos sexuales,0,73,14
¿Así que los hámsters viven dentro de los traseros de esa gente?,0,64,12
Un señor de Vigo se disculpa con Britney Spears por lo que dijo de ella hace 20 años,1,84,18
La NASA reconoce que no ha ido a Marte porque todavía no se le ha ocurrido una frase que mejore la de Armstrong en la Luna,1,122,26
"Las lágrimas de Orlando Ortega, “ni máquina ni robot”, en los Europeos de atletismo de Roma",0,91,16
Este fin de semana haremos una reunión al aire libre con mis amigos.,0,68,13
Aparece en Alemania una carta de Beethoven de 1823,0,50,9
Pablo Picasso,0,13,2
Puente de diciembre en Desembarco del Rey,1,41,7
El Gobierno anima a los españoles a matar más toros para proyectar una imagen sólida al extranjero,1,98,17
El amor nos enseña a ser generosos y comprensivos con la otra persona.,0,70,13
Los niños españoles mandan sus juguetes a Tailandia para que se los monten otros niños,1,86,15
Enterrar la basura que producimos te cuesta dinero: Málaga pagará 6 millones en impuestos,0,89,14
El delantero Ideye ya está en Málaga para firmar,0,48,9
Ono perdonará la cláusula de permanencia a los clientes que entreguen a su primer hijo varón,1,92,16
El sabio gurú que presenta los informativos de TVE recomienda buscar la sombra para combatir el calor,1,101,17
"Si quieres un regalo original, apuesta por estos hoverboards para niños y adultos",0,81,13
Sin acuerdo en las negociaciones entre Rusia y EE UU para un alto el fuego en Siria,0,83,17
El fragmento del programa cultural de Susana Díaz que se ha hecho viral,1,71,13
El Satisfyer manda al paro a más de 2000 succionadores de clítoris españoles,1,76,13
"Esta es la programación del Orgullo de Málaga: actuaciones de Alice Wonderland, Lola Spain y Suhaula Conache",0,108,17
María Torres cierra este fin de semana el calendario de la Premier League esta campaña,0,86,15
"El Barcelona, a semifinales, aunque el Tenerife plantó cara",0,59,9
Bisbal lamenta que él siempre pregunta a los máquinas cómo están pero los máquinas nunca le preguntan cómo está él,1,114,20
Sanidad detiene en la frontera carne de Brasil contaminada con e.coli que no ha llegado a los consumidores,0,106,18
¿Es necesario lavar el arroz antes de cocinarlo?,0,48,8
Una ciudad alemana que alberga un campo de concentración esquiva por 2.000 votos tener el primer alcalde de ultraderecha,0,120,19
La Selectividad en Cataluña permitirá este año esquivar ya las lecturas obligatorias de bachillerato,0,100,14
El ex guardia civil que triunfa con sus bocatas en Tailandia,0,60,11
Cambios en el tráfico este martes en Málaga por la carrera San Silvestre,0,72,13
"Ay, Dios. ""Que bien"".",1,21,4
"Valencia vivió este lunes una granizada de tamaño histórico, con récord de lluvia en julio desde 1987",0,101,17
"“Ser malos”, aconseja Sánchez a los amigos diputados que están organizando su fiesta de despedida",1,97,15
 Ponerme cómodo. Acurrucarme en la mejor almohada del mundo.,0,60,9
El efecto Caitlin Clark revoluciona el baloncesto universitario en Estados Unidos,0,81,11
A filming location you can visit: here are the places in Cadiz where they shot scenes for James Bond,0,100,19
" Ay, Alan, madura. Mientras tenga pizza con queso en la orilla y televisión con 150 canales no le importará a un diablo lo que ustedes hagan. Y ahora que lo pienso, tampoco a mí.",0,178,34
Citas y argumentos filosóficos para convencer a tu casero de que no te suba el alquiler,1,87,16
Para salir de Facebook habrá que someterse a un referéndum pactado entre todos los usuarios,1,91,15
Armengol dice que se han desmontado las acusaciones del caso mascarillas,0,72,11
Reviews EMT: bombilla eléctrica de la casa Edison,1,49,8
El Rey responde a los que quemaron fotos suyas aclarando que tiene copias subidas a Flickr e Instagram,1,102,18
Primeros detenidos en Hong Kong por recordar Tiananmen bajo la nueva ley de seguridad nacional,0,94,15
"Oh, claro, el amor lo arregla todo... especialmente cuando no hay comunicación.",1,79,12
De Málaga a Irlanda con el Mundial en la diana,0,46,10
El primer año de Paco de la Torre: saca pecho del plan de Vivienda pero enfría el Eje Litoral,0,93,19
"Psoriasis y dermatitis atópica, más allá del miedo al espejo",0,60,10
Se tira gases en la cena. ¿Cuánto más cómodo quieres que esté?,1,62,12
" Vale, tengo otra.",0,18,3
"Socorrista, programador web o auxiliar de enfermería, entre los trabajos que se buscan en Málaga",0,96,15
"Pedro Sánchez, llorando y entre sollozos, pregunta a la militancia si aprueba su legislatura con el hombre que ama",1,114,19
Jane Austen: dinero y matrimonio,0,32,5
El confinamiento se prolongará para los hogares que no hayan hecho bizcochos o manualidades en familia,1,102,16
"Un osito de peluche, otra vez único superviviente de un accidente de tráfico",1,76,13
"El amor verdadero es incondicional, no exige nada a cambio.",0,59,10
Un perro bebe accidentalmente unas gotas de café por la mañana y se convierte en persona,1,88,16
Los ‘bagels’ favoritos de Leonard Cohen y otras pistas de Montreal,0,66,11
Los jugadores del Real Madrid piden que vuelva Lopetegui para dar emoción a sus partidos,1,88,15
«Cogí el Aerobús de Barcelona pero no vuela ni nada»,1,52,10
El hijo de una abogada se queda sin asignación por un defecto de forma en la solicitud,1,86,17
Decenas de miles de personas protestan ante el riesgo de que la extrema derecha llegue al poder en Francia,0,106,19
Purina comercializa una comida para perros con sabor a deberes de escuela,1,73,12
La reforma laboral en diez preguntas y respuestas,1,49,8
Rechaza la invitación de una chica que quería subir a casa a tomar una copa «porque las copas mejor tomarlas en un bar y apoyar a la hostelería»,1,144,28
¿Contagio natural o accidente de laboratorio? Estados Unidos desclasifica su informe sobre el origen de la covid en Wuhan,0,121,19
Top 10 de recetas de Lazy Blog,0,30,7
Sancionan a un policía por usar el software de los retratos robot para ver qué aspecto tendría si no fuera calvo,1,112,21
Escalada contenida,0,18,2
Europa quiere acabar con los sobrecostes del 'roaming' en dos años,0,66,11
Tiro con arco.,0,14,3
"El grafiti indultado de David Bowie en Valencia entra en el museo: “Mi padre murió orgulloso”, dice el artista",0,110,19
Medio Ambiente suspende la autorización de la planta de reciclaje de Requena tras 10 días de incendio,0,101,17
Raquel Sánchez Silva: «Haría un cameo en 'Juego de tronos' como guerrera»,0,73,12
El Gobierno de Senegal disuelve por decreto el principal partido de la oposición,0,80,13
Movilidad sostenible: un eje de desarrollo para España y Europa,0,63,10
¿Estás loca?,0,12,2
El futuro Internet de las cosas,0,31,6
La poeta rumana Ana Blandiana se alza con el Premio Princesa de Asturias de las Letras,0,86,16
"Mao Zedong, fuera de los nuevos billetes chinos de 10 yuanes",0,60,11
"Una 'Gaboteca' para vivirla, gozarla y contarla",0,47,7
Trump llama a mantenimiento porque el botón nuclear no funciona,1,63,10
El Eibar expondrá en su museo la caca que hizo abandonar el campo a Sergio Ramos,1,80,16
El Colegio de Enfermería de Málaga califica de «preocupante» las agresiones a profesionales y pide medidas al Gobierno,0,118,18
¿Vuelve la Edad Media? El cierre de Gorillas obligará a cientos de personas a levantarse del sofá e ir a comprar al supermercado por sí mismas,1,142,26
La OCU denuncia ante Consumo el exceso de humedad de cuatro cafés de cápsulas,0,77,14
El Tribunal Supremo desestima la demanda de revisión de Mediaset tras perder ‘Pasapalabra’,0,90,13
Tu cuñado Alfonso empieza a ensayar su discurso sobre Podemos y Cataluña de cara a la cena de Nochebuena,1,104,19
Toda Murcia se trasladará al Edificio España tras adquirirlo,1,60,9
Para mí es un ganar ganar.,0,26,6
«Fui a la Catedral del Mar con un flotador porque no sé nadar»,1,62,13
"No, gracias. Prefiero enfrentar mis demonios en tanto escapan.",0,62,9
Los falsos celíacos solicitan más alimentos con pegatinas «como las que tienen los celíacos de verdad»,1,102,16
La OMS informa de que la muerte de un paciente en México “no es atribuible” a la gripe aviar,0,92,19
Así es la colección de 750 muñequitos que ha moldeado Edurne con su propia mierda,1,81,15
El Museo de Cera rebaja un 30% el sueldo de la figura del Rey,1,61,14
Obviamente galletas.,0,20,2
La Policía cierra el Club de la Comedia por blanquear humor negro,1,65,12
"Qué suerte, el amor perfecto solo existe cuando nunca tienes expectativas realistas.",1,84,12
Los repartidores de Just Eat se quedarán en tu comedor hasta que te hayas terminado todo el plato,1,97,18
Pedro Sánchez pregunta si el conflicto en Venezuela podría justificar un nuevo viaje al Caribe,1,94,15
Qué conveniente que el servidor se caiga justo antes de la entrega.,1,67,12
Venecia cancela la inauguración del puente de Calatrava debido a las protestas,0,78,12
Pablo Iglesias pregunta si puede sustituir la cartera de vicepresidente por una mochila de vicepresidente,1,105,15
Odio los videojuegos.,0,21,3
Muere abatido por una muñeca gigante al intentar cancelar su suscripción a Netflix,1,82,13
Diez consejos básicos para ser un buen padre,1,44,8
Indira Gandhi se niega a levantar el estado de excepción,0,56,10
La incidencia de covid-19 sube un 30% en una semana,0,51,10
"¿Qué personajes históricos, cantantes, actores, eruditos, socialités,... fallecieron un 29 de abril?",0,100,12
¿Tienen sexo?,0,13,2
Un experimento contamina el mar para saber cómo salvar a los corales,0,68,12
Estas son las reformas que debe hacer Pedro Sánchez en su nueva residencia en La Moncloa,1,88,16
"José María Aznar, cansat de parlar en català en la intimitat, exigeix la fi del confinament per la seva pròpia salut mental",1,123,22
Los Reyes y sus hijas felicitan la Navidad en una foto familiar en los jardines de Zarzuela,1,91,17
Las terapias alternativas se refugian en la sanidad concertada,0,62,9
"Un hombre pregunta si, con lo del cambio climático, se puede comer turrón en julio",1,82,15
Rajoy pasará todo el día mandando SMS de apoyo a los afectados por los Papeles de Panamá,1,88,17
"La lluvia, el tráfico y una reunión temprana, ¿qué más podría pedir?",1,68,12
Bailar es una forma eficaz para que pierdan peso las personas con obesidad,0,74,13
"Cynthia Nixon: “Como Emily Dickinson, estoy obsesionada con la muerte”",0,70,10
"La ciberseguridad, el elefante en la habitación de las empresas",0,63,10
Alba Cano regresa a la competición,0,34,6
El Supremo de EE UU anula la prohibición de culatas aceleradoras que convierten fusiles en ametralladoras,0,105,16
Soñar dejará de ser gratis a partir de septiembre,1,49,9
Lenguas comunes de la cocina,0,28,5
Vía libre a la primera obra para el desembarco de un supermercado Costco en Málaga,0,82,15
"Gari Kaspárov: “No puedo mostrar debilidad, no es un buen signo para un líder”",0,78,14
El tenis moderno se come a los ‘terrícolas’,0,43,8
